id;jhi_year;image;description;description_ko
1;33368;Loaf Frozen Mayen;withdrawal;Automotive Assistant
2;59236;Indiana Solutions robust;Concrete mobile parse;Licensed plug-and-play Mozambique
3;22427;invoice USB green;Mountain;deposit
4;91332;Functionality discrete Upgradable;microchip compress Tasty;Avon Loan Circles
5;39687;teal solution-oriented;THX sky AGP;Rubber
6;97668;Up-sized Strategist Mississippi;Refined Branch Plastic;Avon Rustic
7;29326;enterprise;Soft Frozen Checking;Outdoors Shirt blockchains
8;89844;enterprise grey Practical;Automotive;quantify
9;11342;blockchains Shoes;Concrete bus Pants;Account Hat tangible
10;75037;SSL;bluetooth navigating;Forward Mobility
