id;tilte;tilte_ko;description;description_ko;content;content_ko;jhi_view
1;technologies Computer;hack Tasty internet;index;analyzing Grocery world-class;maximize;bricks-and-clicks Franc Directives;77352
2;Cotton Platinum;invoice;Account Kids Unbranded;synergistic Investment;orange pink infomediaries;Borders;38348
3;Jewelery;Reverse-engineered Practical;Guilder;neural contextually-based;Rhode Fresh;Bedfordshire bus;20066
4;multimedia multimedia;Radial Forint connect;Rwanda Investor;Utah HTTP;transmitting;French;94566
5;artificial;salmon Fish Inverse;Specialist capacitor Card;back-end connect Corporate;Right-sized Health Consultant;Branch Keyboard compress;14780
6;Senior;Liaison secondary;PNG;Arkansas Progressive;bypass;Illinois superstructure online;82148
7;generation Generic;Checking Usability white;Paradigm quantify Lock;Bulgarian;Uzbekistan;Avon;55682
8;Shoal;Lead Bedfordshire navigate;scalable plum;hardware;Industrial relationships;Sleek;15872
9;Tajikistan;Handmade Wooden;Incredible;Rican;Wisconsin Card;Technician schemas Borders;16536
10;bluetooth Dollar Berkshire;Berkshire optical;Crossing;Uruguay;lime Kentucky Plastic;Dobra;20224
