id;title;title_ko;description;description_ko;image;jhi_link;outstanding;jhi_view
1;Health Steel Pines;Mobility methodical Concrete;open-source parsing;Andorra;Infrastructure Papua;COM overriding Views;false;25932
2;Savings;value-added microchip;compelling Plastic;Crest;actuating British;indexing PNG;false;93038
3;logistical;collaborative;XML SMS;firewall;Graphic Fresh;Table;true;19344
4;XSS;Persistent 1080p;Gibraltar;Chips;Practical Emirates;Operative;true;72995
5;Borders maroon intelligence;Arabia;pixel architecture e-enable;Communications parse;Tactics program Enhanced;scale;true;97054
6;copy Chicken Chips;Web;Data;alliance Open-architected;International integrated Architect;Bike Clothing;true;56294
7;hacking quantifying invoice;invoice Metal;connect;reboot;card Optimized;holistic;true;19261
8;port revolutionary;EXE Buckinghamshire wireless;Customer 24/7;yellow bluetooth;Soft generate auxiliary;Table;false;21771
9;Polynesia hard;Ramp navigating;Pizza;Forward AGP;Sleek Plastic Avon;calculating alarm;false;63260
10;Computer Berkshire;bus magenta;integrated alarm Down-sized;deposit;calculate convergence Incredible;Keyboard SSL transmit;true;80097
