id;name;name_ko;description;description_ko;title;title_ko;content;content_ko
1;Nigeria Sleek;Greens Public-key;encompassing Gloves;Bhutan Communications;Secured Awesome Berkshire;Loan Granite;Human orchid capacitor;Indiana Plastic application
2;Global Program Division;payment Connecticut;Customer frame Oklahoma;forecast;wireless evolve;neural;Granite;navigating
3;auxiliary parsing;Toys Interface discrete;Squares;Identity secondary;solid;niches;Berkshire Investment;Concrete proactive parse
4;Balanced Plains eyeballs;disintermediate;blue THX functionalities;Rupee;Facilitator quantifying;Ariary repurpose didactic;hacking panel;Direct Uruguay
5;sensor;Ergonomic web-enabled SSL;Soft seize;Rustic;online Tuna;secured e-services;Clothing;Chair
6;Kansas Myanmar;Burundi Producer;Marketing defect;reinvent programming implement;Keyboard state;Account neural;parsing navigate;Account Oklahoma
7;Product access;magenta;interfaces Chad bi-directional;withdrawal instruction Toys;facilitate;withdrawal Chips Fish;calculating Drive;monitor Connecticut
8;Dakota;Benin withdrawal;red Fresh Gloves;Soap;visualize Planner Frozen;New Movies scale;harness;Unbranded
9;reboot;blue Developer frame;Hat;Buckinghamshire XML fuchsia;Pound Front-line;interactive Michigan Cambridgeshire;Lights boliviano quantify;magenta International
10;Manager 24/365;bypassing;Communications;Dollar reboot;integrate;network Representative;pink Product;Pennsylvania Cambridgeshire
