id;jhi_index;name;name_ko;jhi_link;parent
1;50301;transmitter Small;out-of-the-box mobile Republic;GB Assistant Investor;80025
2;66616;generate circuit;deposit;neural;36331
3;80432;Salvador;Chips Music auxiliary;Brunei Account;68493
4;70564;Steel Buckinghamshire hacking;Cambridgeshire;Jersey XSS HTTP;26536
5;27584;Home Grocery;Market Fantastic lavender;Corporate parse;59788
6;53938;Grass-roots;West compressing;Soft azure;63496
7;36798;auxiliary array;French face;Kazakhstan task-force;48121
8;25971;streamline Metical Birr;Intelligent expedite;SMS;43494
9;30893;invoice;Intelligent Configuration Chile;Steel;9423
10;14426;challenge ivory;invoice Key;engineer;72292
