id;tilte;tilte_ko;description;description_ko;content;content_ko
1;technologies Computer;hack Tasty internet;index;analyzing Grocery world-class;maximize;bricks-and-clicks Franc Directives
2;Bahrain platforms Platinum;invoice;Account Kids Unbranded;synergistic Investment;orange pink infomediaries;Borders
3;Soft Reverse-engineered;e-business;Cheese global Cotton;Wooden world-class Programmable;Account multimedia multimedia;Radial Forint connect
4;Rwanda Investor;Utah HTTP;transmitting;French;Front-line static South;communities Developer network
5;e-commerce Cambridgeshire Concrete;Fresh Assistant;Chair Way Soft;Fish;Curve;Ergonomic Liaison secondary
6;PNG;Arkansas Progressive;bypass;Illinois superstructure online;withdrawal deposit throughput;collaborative
7;white;Paradigm quantify Lock;Bulgarian;Uzbekistan;Avon;homogeneous payment
8;Optimization;navigate;scalable plum;hardware;Industrial relationships;Sleek
9;intranet;evolve Keyboard Ergonomic;Dollar;deploy;Investor Account reserved;relationships initiatives bluetooth
10;web-enabled seize Berkshire;synthesizing Crossing user;Implementation;Kentucky Plastic Baby;indigo Washington Berkshire;RAM Azerbaijan
