id;name;name_ko;description;description_ko;title_ko;content_ko
1;Nigeria Sleek;Greens Public-key;encompassing Gloves;Bhutan Communications;Secured Awesome Berkshire;Loan Granite
2;Human orchid capacitor;Indiana Plastic application;Global Program Division;payment Connecticut;Customer frame Oklahoma;forecast
3;wireless evolve;neural;Granite;navigating;auxiliary parsing;Toys Interface discrete
4;Squares;Identity secondary;solid;niches;Berkshire Investment;Concrete proactive parse
5;Balanced Plains eyeballs;disintermediate;blue THX functionalities;Rupee;Facilitator quantifying;Ariary repurpose didactic
6;hacking panel;Direct Uruguay;sensor;Ergonomic web-enabled SSL;Soft seize;Rustic
7;online Tuna;secured e-services;Clothing;Chair;Kansas Myanmar;Burundi Producer
8;Marketing defect;reinvent programming implement;Keyboard state;Account neural;parsing navigate;Account Oklahoma
9;Product access;magenta;interfaces Chad bi-directional;withdrawal instruction Toys;facilitate;withdrawal Chips Fish
10;calculating Drive;monitor Connecticut;Dakota;Benin withdrawal;red Fresh Gloves;Soap
